name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model,generation_count
ef7f_model_converter,ef7f0fa5,qw32_00e9_mc_batch,success,136.41,4077,3307,770,0.0,0,0,F,mc,qw32,2
506a_model_converter,506ae956,qw32_00e9_mc_batch,success,115.64,3932,3291,641,0.0,0,0,F,mc,qw32,2
26d7_model_converter,26d742f6,qw32_00e9_mc_batch,success,132.66,4091,3346,745,0.0,0,0,F,mc,qw32,2
e175_model_converter,e175ef1f,qw32_00e9_mc_batch,success,132.13,4017,3251,766,0.0,0,0,F,mc,qw32,3
39d1_model_converter,39d1c800,qw32_00e9_mc_batch,success,127.99,4037,3322,715,0.0,0,0,F,mc,qw32,2
83c5_model_converter,83c5ecec,qw32_00e9_mc_batch,success,48.02,730,432,298,0.0,0,0,F,mc,qw32,1
cb60_model_converter,cb60d9ed,qw32_00e9_mc_batch,success,107.58,3853,3258,595,0.0,0,0,F,mc,qw32,2
4dc2_model_converter,4dc2538c,qw32_00e9_mc_batch,success,48.11,731,432,299,0.0,0,0,F,mc,qw32,1
4358_model_converter,43582d4b,qw32_00e9_mc_batch,success,118.66,3949,3286,663,0.0,0,0,F,mc,qw32,2
ddad_model_converter,ddad7ad4,qw32_00e9_mc_batch,success,127.33,3893,3176,717,0.0,0,0,F,mc,qw32,2
df09_model_converter,df09921b,qw32_00e9_mc_batch,success,183.29,5636,4598,1038,0.0,0,0,F,mc,qw32,3
1202_model_converter,12021151,qw32_00e9_mc_batch,success,105.42,3797,3219,578,0.0,0,0,F,mc,qw32,2
7d70_model_converter,7d700517,qw32_00e9_mc_batch,success,49.07,737,432,305,0.0,0,0,F,mc,qw32,1
689a_model_converter,689a362f,qw32_00e9_mc_batch,success,102.56,3793,3229,564,0.0,0,0,F,mc,qw32,2
c775_model_converter,c77508d2,qw32_00e9_mc_batch,success,103.51,3776,3210,566,0.0,0,0,F,mc,qw32,2
632e_model_converter,632e3359,qw32_00e9_mc_batch,success,48.3,732,432,300,0.0,0,0,F,mc,qw32,1
8340_model_converter,8340dd1a,qw32_00e9_mc_batch,success,126.06,4010,3301,709,0.0,0,0,F,mc,qw32,2
